1,Bantam Dell Publishing Group,1745 Broadway New York,bbdpublicity@randomhouse.com.,New York City,United States,10019
2,Simon & Schuster,1230 Avenue of the Americas,SSPublicity@simonandschuster.com,New York City,United States,10020-1513
3,Hackett Publishing Company,847 Massachusetts Ave Cambridge,customer@hackettpublishing.com,Massachusetts,United States,02139-3001
4,Houghton Mifflin Harcourt Publishing Company,125 High Street,corporate.communications@hmhco.com,Massachusetts,United States,2110
5,Doubleday Publishing Company,1745 Broadway New York,knopfpublicity@randomhouse.com,New York City,United States,10019
6,Longman Pub Group,1185 Avenue Of The Americas,longmanpub@group.com,New York City,United States,10036
8,CreateSpace Independent Publishing Platform,618 Maiden Lane Fontana,createspace@publishing.com,California,United States,92335
9,Random House Publishing,1745 Broadway New York,bbdpublicity@randomhouse.com.,New York City,United States,10019
10,Charles Scribner's Sons,153–157 Fifth Avenue,ScribnerPublicity@SimonandSchuster.com,New York City,United States,10010
11,J. B. Lippincott & Co.,227 S. 6th Street across from Washington Square,permissions@lww.com,Philadelphia,United States,19106
16,Penguin Random House,1745 Broadway New York,consumerservices@penguinrandomhouse.com,New York City,United States,10019
17,Harper Perennial,195 Broadway,privacypolicy@harpercollins.com,New York City,United States,10007
19,Hill and Wang,77 E 4th St,accessibility@macmillanusa.com,New York City,United States,10003
20,Atria Books,1230 Avenue of the Americas Rm 13-052a,AtriaPublicity@SimonandSchuster.com,New York City,United States,10020
23,Faber and Faber,"Bloomsbury House, 74–77 Great Russell Street",customer@faber.co.uk,London,United Kingdom,WC1B 3DA
28,Chatto & Windus,20 VAUXHALL BDGE RD,customerservice@chattowindus.com,London,United Kingdom,SW1V 2SA
30,Back Bay Books,1271 Avenue of the Americas 11th Floor,baybooksmi@gmail.com,New York City,United States,10020
32,Macmillan Publisher,120 Broadway,macmillan.audio@macmillanusa.com,New York City,United States,10271
33,Spiegel & Grau,99 Washington Ave,customer@spiegelgrau.com,New York City,United States,12210
36,Heinemann,"145 Maplewood Avenue, Suite 300",custserv@heinemann.com,New Hampshire,United States,3801
39,Jonathan Cape,20 VAUXHALL BRIDGE ROAD,capesubmissions@randomhouse.co.uk,London,United Kingdom,SW1V 2SA
40,Hamish Hamilton,20 VAUXHALL BRIDGE ROAD,hamishhamilton@randomhouse.co.uk,London,United Kingdom,SW1V 2SA
41,Headline,Carmelite House 50 Victoria Embankment,enquiries@hachette.co.uk,London,United Kingdom,EC4Y 0DZ
44,St. Martin's Press,120 Broadway,specialsales@raincoast.com,New York City,United States,10271
